LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
119724.32760393266,2,1,2,53,4,4,5,6,6,5,42197.056342018164,35179.70223974994,39575.31732065242,43568.004048326315,42274.247544877246,44074.79815520941,16478.450991290752,30334.585483032228,35277.13884101518,28960.401915158498,11021.748154571951,25070.972967178113,1
369681.4535900303,2,2,2,46,2,2,2,1,1,1,290580.6927448515,328429.2935503252,357648.13511524093,338266.81497267046,400844.7749128472,466277.47095460363,192315.32826559065,102633.35466744543,224822.3859095411,173632.54037239272,82752.64914105677,185133.62119002122,0
283957.41976623907,2,4,3,27,-2,-3,-3,-4,-3,-2,149807.93265157728,154915.03708572945,133602.33141570486,120301.55781564594,110818.03174835481,122401.18204033036,40466.514729370676,118465.69452029887,19961.024525170724,22495.933903744703,18914.099532223507,69821.08828107003,0
69244.63432982896,2,3,3,44,3,2,2,1,1,1,27483.54937706184,27299.34728330821,27158.71165921451,21786.148059863182,24591.729640162735,23676.61442176498,7746.373612064401,23244.161828485307,22758.49789556502,6737.067476734994,10719.041622100887,9704.843943088377,1
180567.96976377565,1,2,3,40,-1,0,0,1,1,2,116751.05039388967,116755.83082075264,116966.74024748494,106811.25645189373,87543.11613773431,98557.35745462416,66963.30653667201,95503.1804492908,46433.58950563639,67257.44341842565,61735.28489158984,75822.69337559168,0
448172.3844516581,1,2,1,61,4,3,4,4,5,4,407604.77616814873,471048.4094307541,489019.93296889676,419466.09775615484,432387.7650408511,445932.14050931757,362568.7469237865,224537.81097524334,326151.992457424,251680.7890746361,119883.24839991986,101514.94163367696,0
20000.0,1,1,3,45,5,6,6,6,7,8,18590.817813502927,15732.585141472504,17877.82112790207,16030.613706144017,13613.23114355164,13826.487762890716,14193.637109242427,7251.308609387119,12444.833641992569,6144.741000202652,8790.384733494879,5793.27236722164,1
198530.48453725874,2,1,3,40,0,0,0,1,0,1,92112.5237425134,80875.37291809918,95671.91565886467,113212.69942519233,121576.47754361683,104707.55692252541,68078.07808267951,22976.48512882232,31730.373512480845,15857.085242129979,50750.19398996486,45950.80999888231,0
401912.3510446641,2,3,2,37,4,5,5,5,4,5,229181.5622526262,249528.15473829082,291751.63488345256,257662.4311673271,304914.1606682189,262313.47197873297,101833.47763192974,68631.94107387625,63451.18157464913,187733.24738315563,262066.2569146129,114974.55427387416,1
145991.1517281878,2,2,1,47,5,5,4,3,4,3,61985.797100996286,59082.54650783702,52095.39965013762,41912.737759234034,46207.141017611975,38393.32921845696,11526.205157880804,37881.23542764152,32881.201244526696,14647.516296894295,13004.42603145805,26135.63629657013,1
